"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
1897,"4","Hibbard Energy Center","MN","27137","CONUS","EGU-Other",32.9891534924903,64.089181,0.0903948583909707,232.529996999999,0.327972924953867,68.3005415093902,0.0903948583909705,248.126223094168,0.328391756551446,-92.1531,46.7356
2709,"01A","H F Lee Steam Electric Plant","NC","37191","SRCA","Combined Cycle Gas",382.243173300431,4.38944299999973,0.000628637512003644,232.117297,0.0332428602169113,0.96127234149914,0.000628637512003678,50.938514164191,0.0333119548195903,-78.089589,35.373672
2336,"6","Tracy","NV","32029","BASN","Combined Cycle Gas",112.51299016355,0.824021499999998,0.000600090486040803,231.361345999999,0.168488009805805,0.499378967451276,0.00060009048604079,140.228624272632,0.168509025772708,-119.525,39.5625
10822,"1","Grayling Generating Station","MI","26039","CONUS","EGU-Other",32.8350174606904,22.8969879999998,0.0134117931276702,230.549195499999,0.135043007219849,24.3161468379482,0.0134117931276718,244.997009569034,0.135130340803427,-84.690278,44.605
3484,"143B","Nichols Station","TX","48375","SPPS","Boiler Gas",247.608876721838,0.9300975,0.000600110647641762,230.032786999999,0.148420057881468,0,NA,0,NA,-101.7458,35.2825
6190,"3-1","Brame Energy Center","LA","22079","MISS","Coal",374.259593412259,742.474956999999,0.113509859876757,229.8274845,0.0351361151180519,34.4720443264543,0.113509859876756,10.6963835656125,0.0352211487146692,-92.7167,31.395
3478,"2","Wilkes Power Plant","TX","48315","SPPS","Boiler Gas",277.522422418242,0.924479999999998,0.000600038201419631,229.367920999999,0.148872355032234,1.16501965367227,0.000600038201419631,289.531933633371,0.149122137264637,-94.5469,32.8486
10745,"003","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",108.87196907073,1.46197,0.000600049483344949,229.34675,0.0941328473527796,0.368126981697651,0.000600049483344946,58.531613488961,0.0954069279883519,-84.2242,43.5861
10603,"031","Ebensburg Power Company","PA","42021","PJME","Coal",64.7041679491092,1530.2325465,0.583574812753926,229.2189175,0.0874157246006003,1161.86005732225,0.583574812753951,174.063028698791,0.0874277403204585,-78.7472,40.455
2965,"1402","Tulsa","OK","40143","SPPS","Boiler Gas",157.070022393022,0.408892000000001,0.000600092463744714,229.061458,0.336172032419749,0.579865337693703,0.000600092463744715,324.884948385934,0.336217732699643,-95.9917,36.1125
26,"1","E C Gaston","AL","01117","SRSE","Boiler Gas",237.068579731594,181.171288999999,0.0993474452778791,227.761830999999,0.124895926758361,212.305902588783,0.09934744527788,268.763168566546,0.1257663298867,-86.4567,33.2442
